Ano,Mes,IdRegion,IdServicio,IdComuna,IdEstablecimiento,50_54,55_59,60_64,65_69,numerador_mujeres_50_69,servicio_salud_piv,dependencia_piv,comuna_piv,establecimiento_piv,denominador_piv_mujeres_50_69,codigo_madre_master,servicio_salud_master,tipo_establecimiento_master,establecimiento_master,dependencia_master,comuna_master,estado_funcionamiento_master,denominador_disponible,cobertura_mamografia_pct,advertencia_cobertura_establecimiento
2025,12,13,10,13103,110331,221,195,229,94,739,Metropolitano Occidente,Municipal ,Cerro Navia,Centro De Salud Familiar Lo Amor,2616.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lo Amor,Municipal,Cerro Navia,Vigente en Operación Habitual,True,28.249235474006117,
2025,12,13,10,13103,110335,339,273,225,136,973,Metropolitano Occidente,Municipal ,Cerro Navia,Centro De Salud Familiar Cerro Navia,3745.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Cerro Navia,Municipal,Cerro Navia,Vigente en Operación Habitual,True,25.981308411214954,
2025,12,13,10,13103,110355,224,250,249,192,915,Metropolitano Occidente,Municipal ,Cerro Navia,Centro De Salud Familiar Dr. Arturo Albertz,4383.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Arturo Albertz,Municipal,Cerro Navia,Vigente en Operación Habitual,True,20.876112251882272,
2025,12,13,10,13103,110735,41,28,54,44,167,Metropolitano Occidente,Municipal ,Cerro Navia,Centro Comunitario De Salud Familiar Los Lagos (Unidad Vecinal Nº 33),14.0,110335,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Los Lagos (Unidad Vecinal Nº 33),Municipal,Cerro Navia,Vigente en Operación Habitual,True,1192.857142857143,
2025,12,13,10,13117,110315,378,362,407,210,1357,Metropolitano Occidente,Municipal ,Lo Prado,Centro De Salud Familiar Santa Anita,4849.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Santa Anita,Municipal,Lo Prado,Vigente en Operación Habitual,True,27.985151577644874,
2025,12,13,10,13117,110316,381,312,280,207,1180,Metropolitano Occidente,Municipal ,Lo Prado,Centro De Salud Familiar Pablo Neruda,3717.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Pablo Neruda,Municipal,Lo Prado,Vigente en Operación Habitual,True,31.746031746031743,
2025,12,13,10,13117,110340,430,407,369,179,1385,Metropolitano Occidente,Municipal ,Lo Prado,Centro De Salud Familiar Dr. Raúl Yazigi,4907.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Raúl Yazigi,Municipal,Lo Prado,Vigente en Operación Habitual,True,28.22498471571225,
2025,12,13,10,13117,110345,227,215,270,147,859,Metropolitano Occidente,Municipal ,Lo Prado,Centro De Salud Familiar Dr. Avendaño,3862.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Carlos Avendaño,Municipal,Lo Prado,Vigente en Operación Habitual,True,22.242361470740548,
2025,12,13,10,13124,110350,555,539,607,236,1937,Metropolitano Occidente,Municipal ,Pudahuel,Centro De Salud Familiar Pudahuel Estrella,7402.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Pudahuel Estrella,Municipal,Pudahuel,Vigente en Operación Habitual,True,26.16860308024858,
2025,12,13,10,13124,110351,220,145,163,119,647,Metropolitano Occidente,Municipal ,Pudahuel,Consultorio Pudahuel Poniente,4853.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Pudahuel Poniente,Municipal,Pudahuel,Vigente en Operación Habitual,True,13.331959612610756,
2025,12,13,10,13124,110352,302,475,551,249,1577,Metropolitano Occidente,Municipal ,Pudahuel,Centro De Salud Familiar Dr. Gustavo Molina,5303.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Gustavo Molina,Municipal,Pudahuel,Vigente en Operación Habitual,True,29.737884216481238,
2025,12,13,10,13124,110353,349,270,211,129,959,Metropolitano Occidente,Municipal ,Pudahuel,Centro De Salud Familiar Cardenal Raúl Silva Henríquez De Pudahuel,2973.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Cardenal Raúl Silva Henríquez,Municipal,Pudahuel,Vigente en Operación Habitual,True,32.25697948200471,
2025,12,13,10,13124,110354,202,393,399,173,1167,Metropolitano Occidente,Municipal ,Pudahuel,Centro De Salud Familiar Violeta Parra,7635.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Violeta Parra,Municipal,Pudahuel,Vigente en Operación Habitual,True,15.284872298624755,
2025,12,13,10,13124,110410,10,9,7,2,28,Metropolitano Occidente,Municipal ,Pudahuel,Centro Comunitario De Salud Familiar Irene Frei Montalva,63.0,110351,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Irene Frei Montalva,Municipal,Pudahuel,Vigente en Operación Habitual,True,44.44444444444444,
2025,12,13,10,13124,110750,17,17,34,10,78,Metropolitano Occidente,Municipal ,Pudahuel,Centro Comunitario De Salud Familiar Concejal Guillermo Flores O.,29.0,110350,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Concejal Guillermo Flores O.,Municipal,Pudahuel,Vigente en Operación Habitual,True,268.9655172413793,
2025,12,13,10,13124,110752,92,108,101,81,382,Metropolitano Occidente,Municipal ,Pudahuel,Centro Comunitario De Salud Familiar Padre Félix Gutiérrez Donoso,76.0,110354,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Padre Félix Gutiérrez Donoso,Municipal,Pudahuel,Vigente en Operación Habitual,True,502.6315789473684,
2025,12,13,10,13124,110754,44,54,53,40,191,Metropolitano Occidente,Municipal ,Pudahuel,Centro Comunitario De Salud Familiar Río Claro,42.0,110354,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Río Claro,Municipal,Pudahuel,Vigente en Operación Habitual,True,454.76190476190476,
2025,12,13,10,13124,110756,22,23,22,18,85,Metropolitano Occidente,Municipal ,Pudahuel,Centro Comunitario De Salud Familiar Mar Caribe,76.0,110350,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Mar Caribe,Municipal,Pudahuel,Vigente en Operación Habitual,True,111.8421052631579,
2025,12,13,10,13124,110758,44,20,20,8,92,Metropolitano Occidente,Municipal ,Pudahuel,Centro Comunitario De Salud Familiar Santa Corina,56.0,110350,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Santa Corina,Municipal,Pudahuel,Vigente en Operación Habitual,True,164.28571428571428,
2025,12,13,10,13124,201353,4,3,3,0,10,,,,,,,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Unión y Esfuerzo Rural,Municipal,Pudahuel,Vigente en Operación Habitual,False,,Sin denominador PIV directo; no usar como cobertura establecimiento
2025,12,13,10,13126,110310,144,114,106,61,425,Metropolitano Occidente,Servicio de Salud,Quinta Normal,CESFAM Andes,3237.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Andes,Servicio de Salud,Quinta Normal,Vigente en Operación Habitual,True,13.129440840284214,
2025,12,13,10,13126,110320,298,365,182,92,937,Metropolitano Occidente,Municipal ,Quinta Normal,Centro De Salud Familiar Lo Franco,4927.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lo Franco,Municipal,Quinta Normal,Vigente en Operación Habitual,True,19.01765780393749,
2025,12,13,10,13126,110325,77,383,404,219,1083,Metropolitano Occidente,Municipal ,Quinta Normal,Centro De Salud Familiar Garín,4118.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Garín,Municipal,Quinta Normal,Vigente en Operación Habitual,True,26.29917435648373,
2025,12,13,10,13126,110720,44,49,59,41,193,,,,,,110320,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Catamarca,Municipal,Quinta Normal,Vigente en Operación Habitual,False,,Sin denominador PIV directo; no usar como cobertura establecimiento
2025,12,13,10,13128,110360,954,883,925,490,3252,Metropolitano Occidente,Municipal ,Renca,Centro De Salud Familiar Renca,7678.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Renca,Municipal,Renca,Vigente en Operación Habitual,True,42.35477989059651,
2025,12,13,10,13128,110361,659,593,475,191,1918,Metropolitano Occidente,Municipal ,Renca,Centro De Salud Familiar Bicentenario,3905.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Bicentenario,Municipal,Renca,Vigente en Operación Habitual,True,49.11651728553137,
2025,12,13,10,13128,110362,375,257,319,278,1229,Metropolitano Occidente,Municipal ,Renca,Centro De Salud Familiar Dr. Hernán Urzúa Merino,3303.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Hernán Urzúa Merino,Municipal,Renca,Vigente en Operación Habitual,True,37.208598244020585,
2025,12,13,10,13128,110364,303,241,179,84,807,Metropolitano Occidente,Municipal ,Renca,Centro De Salud Familiar Huamachuco,2012.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Huamachuco,Municipal,Renca,Vigente en Operación Habitual,True,40.109343936381705,
2025,12,13,10,13501,110378,414,404,424,254,1496,Metropolitano Occidente,Municipal ,Melipilla,Centro De Salud Familiar Dr. Edelberto Elgueta,4437.0,,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Edelberto Elgueta,Municipal,Melipilla,Vigente en Operación Habitual,True,33.71647509578544,
