Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,descripcion_prestacion,IdRegion,IdComuna,mujeres_mamografia_vigente,trans_masculino_mamografia_vigente,pueblos_originarios,migrantes,tramo_edad
6,10,2025,110781,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13501,2,0,0,0,65_69
12,10,2025,110781,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13501,7,0,0,1,65_69
12,10,2025,110370,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13602,424,0,11,15,50_54
12,10,2025,110370,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13602,399,0,11,4,55_59
12,10,2025,110370,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13602,339,0,10,1,60_64
6,10,2025,110366,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13604,1523,0,76,110,55_59
6,10,2025,110366,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13604,1358,0,46,88,60_64
6,10,2025,110366,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13604,1035,0,31,46,65_69
12,10,2025,110316,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13117,381,0,33,46,50_54
12,10,2025,110316,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13117,312,0,21,24,55_59
12,10,2025,110316,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13117,280,0,18,18,60_64
12,10,2025,110316,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13117,207,0,7,10,65_69
12,10,2025,110370,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13602,177,0,1,4,65_69
6,10,2025,110353,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13124,279,0,13,18,50_54
6,10,2025,110353,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13124,212,0,9,16,55_59
