IdEstablecimiento,IdEstablecimiento_denominador_original,servicio_salud_denominador,dependencia_denominador,comuna_denominador,establecimiento_denominador,denominador_poblacion_inscrita_validada_mujeres_50_69,codigo_madre_master,IdServicio_master,servicio_salud_master,tipo_establecimiento_master,establecimiento_master,dependencia_master,IdComuna_master,comuna_master,estado_funcionamiento_master
110431,110431,Metropolitano Occidente,Municipal ,Isla De Maipo,Posta De Salud Rural Gacitúa,105,,10,Servicio de Salud Metropolitano Occidente,Posta de Salud Rural (PSR),Posta de Salud Rural Gacitúa,Municipal,13603,Isla de Maipo,Vigente en Operación Habitual
110432,110432,Metropolitano Occidente,Municipal ,Isla De Maipo,Posta De Salud Rural Las Mercedes ( Isla De Maipo ),94,,10,Servicio de Salud Metropolitano Occidente,Posta de Salud Rural (PSR),Posta de Salud Rural Las Mercedes ( Isla de Maipo ),Municipal,13603,Isla de Maipo,Vigente en Operación Habitual
110440,110440,Metropolitano Occidente,Municipal ,Melipilla,Posta De Salud Rural Bollenar,890,,10,Servicio de Salud Metropolitano Occidente,Posta de Salud Rural (PSR),Posta de Salud Rural Bollenar,Municipal,13501,Melipilla,Vigente en Operación Habitual
110445,110445,Metropolitano Occidente,Municipal ,Melipilla,Posta De Salud Rural Pahuilmo,635,,10,Servicio de Salud Metropolitano Occidente,Posta de Salud Rural (PSR),Posta de Salud Rural Pahuilmo,Municipal,13501,Melipilla,Vigente en Operación Habitual
110455,110455,Metropolitano Occidente,Municipal ,Melipilla,Posta De Salud Rural Pabellón,225,,10,Servicio de Salud Metropolitano Occidente,Posta de Salud Rural (PSR),Posta de Salud Rural Pabellón,Municipal,13501,Melipilla,Vigente en Operación Habitual
110465,110465,Metropolitano Occidente,Municipal ,María Pinto,Posta De Salud Rural Santa Emilia,376,,10,Servicio de Salud Metropolitano Occidente,Posta de Salud Rural (PSR),Posta de Salud Rural Santa Emilia,Municipal,13504,Maria Pinto,Vigente en Operación Habitual
110470,110470,Metropolitano Occidente,Municipal ,María Pinto,Posta De Salud Rural Las Mercedes ( María Pinto ),190,,10,Servicio de Salud Metropolitano Occidente,Posta de Salud Rural (PSR),Posta de Salud Rural Las Mercedes ( María Pinto ),Municipal,13504,Maria Pinto,Vigente en Operación Habitual
110475,110475,Metropolitano Occidente,Municipal ,María Pinto,Posta De Salud Rural Chorombo,408,,10,Servicio de Salud Metropolitano Occidente,Posta de Salud Rural (PSR),Posta de Salud Rural Chorombo,Municipal,13504,Maria Pinto,Vigente en Operación Habitual
110477,110477,Metropolitano Occidente,Servicio de Salud,Curacav¿,CECOSF María Salas,145,110160,10,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar María Salas,Servicio de Salud,13503,Curacaví,Vigente en Operación Habitual
110485,110485,Metropolitano Occidente,Municipal ,San Pedro,Posta De Salud Rural Loica,90,,10,Servicio de Salud Metropolitano Occidente,Posta de Salud Rural (PSR),Posta de Salud Rural Loica,Municipal,13505,San Pedro,Cerrado
110490,110490,Metropolitano Occidente,Municipal ,San Pedro,Posta De Salud Rural La Manga,57,,10,Servicio de Salud Metropolitano Occidente,Posta de Salud Rural (PSR),Posta de Salud Rural La Manga,Municipal,13505,San Pedro,Vigente en Operación Habitual
110492,110492,Metropolitano Occidente,Municipal ,San Pedro,Posta De Salud Rural Nihue,60,,10,Servicio de Salud Metropolitano Occidente,Posta de Salud Rural (PSR),Posta de Salud Rural Nihue,Municipal,13505,San Pedro,Vigente en Operación Habitual
110495,110495,Metropolitano Occidente,Municipal ,San Pedro,Posta De Salud Rural El Prado,91,,10,Servicio de Salud Metropolitano Occidente,Posta de Salud Rural (PSR),Posta de Salud Rural El Prado,Municipal,13505,San Pedro,Vigente en Operación Habitual
110503,110503,Metropolitano Occidente,Municipal ,Alhué,Posta De Salud Rural Hacienda Alhué,70,110393,10,Servicio de Salud Metropolitano Occidente,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Hacienda Alhué,Municipal,13502,Alhué,Vigente en Operación Habitual
110505,110505,Metropolitano Occidente,Municipal ,Alhué,Posta De Salud Rural Pichi,5,,10,Servicio de Salud Metropolitano Occidente,Posta de Salud Rural (PSR),Posta de Salud Rural Pichi,Municipal,13502,Alhué,Vigente en Operación Habitual
110510,110510,Metropolitano Occidente,Municipal ,Alhué,Posta De Salud Rural El Asiento,6,,10,Servicio de Salud Metropolitano Occidente,Posta de Salud Rural (PSR),Posta de Salud Rural El Asiento,Municipal,13502,Alhué,Vigente en Operación Habitual
