Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,descripcion_prestacion,IdRegion,IdComuna,mujeres_mamografia_vigente,trans_masculino_mamografia_vigente,pueblos_originarios,migrantes,tramo_edad
12,10,2025,110360,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13128,925,0,0,40,60_64
12,10,2025,110360,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13128,490,0,0,16,65_69
12,10,2025,110351,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13124,220,0,10,8,50_54
12,10,2025,110351,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13124,145,0,4,9,55_59
12,10,2025,110351,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13124,163,0,2,4,60_64
12,10,2025,110351,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13124,119,0,7,2,65_69
12,10,2025,110370,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13602,424,0,11,15,50_54
12,10,2025,110370,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13602,399,0,11,4,55_59
12,10,2025,110370,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13602,339,0,10,1,60_64
12,10,2025,110370,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13602,177,0,1,4,65_69
12,10,2025,110355,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13103,249,0,15,14,60_64
12,10,2025,110355,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13103,192,0,9,10,65_69
12,10,2025,110379,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13501,642,0,4,10,50_54
12,10,2025,110379,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13501,680,0,2,6,55_59
12,10,2025,110379,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13501,517,0,3,1,60_64
12,10,2025,110379,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13501,273,0,0,2,65_69
12,10,2025,110380,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13501,137,0,4,2,50_54
12,10,2025,110380,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13501,184,0,2,1,55_59
12,10,2025,110380,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13501,181,0,1,0,60_64
12,10,2025,110380,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13501,101,0,1,1,65_69
12,10,2025,110366,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13604,1704,0,59,50,50_54
12,10,2025,110366,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13604,1508,0,44,37,55_59
12,10,2025,110366,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13604,1294,0,24,30,60_64
12,10,2025,110366,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13604,967,0,23,16,65_69
12,10,2025,110362,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13128,257,0,26,1,55_59
12,10,2025,110362,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13128,319,0,23,4,60_64
12,10,2025,110362,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13128,278,0,21,0,65_69
12,10,2025,110385,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13504,223,0,5,1,50_54
12,10,2025,110385,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13504,201,0,4,0,55_59
12,10,2025,110385,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13504,216,0,4,0,60_64
12,10,2025,110353,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13124,349,0,16,6,50_54
12,10,2025,110353,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13124,270,0,12,1,55_59
12,10,2025,110353,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13124,211,0,7,1,60_64
12,10,2025,110353,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13124,129,0,7,0,65_69
12,10,2025,110393,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13502,83,0,4,15,50_54
12,10,2025,110393,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13502,72,0,2,10,55_59
12,10,2025,110393,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13502,55,0,0,4,60_64
12,10,2025,110393,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13502,46,0,0,0,65_69
12,10,2025,110381,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13501,126,0,0,0,50_54
12,10,2025,110381,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13501,111,0,0,1,55_59
12,10,2025,110381,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13501,127,0,1,0,60_64
12,10,2025,110381,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13501,58,0,0,1,65_69
12,10,2025,110385,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13504,133,0,2,0,65_69
12,10,2025,110400,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13601,79,0,0,0,50_54
12,10,2025,110400,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13601,52,0,0,0,55_59
12,10,2025,110400,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13601,58,0,0,0,60_64
12,10,2025,110400,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13601,13,0,0,0,65_69
12,10,2025,110369,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13605,577,0,14,12,50_54
12,10,2025,110369,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13605,538,0,18,23,55_59
12,10,2025,110369,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13605,458,0,11,18,60_64
12,10,2025,110369,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13605,330,0,9,10,65_69
12,10,2025,110410,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13124,10,0,0,2,50_54
12,10,2025,110410,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13124,9,0,0,0,55_59
12,10,2025,110410,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13124,7,0,0,1,60_64
12,10,2025,110410,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13124,2,0,1,0,65_69
12,10,2025,110378,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13501,414,0,6,17,50_54
12,10,2025,110378,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13501,404,0,2,7,55_59
12,10,2025,110378,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13501,424,0,6,3,60_64
12,10,2025,110378,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13501,254,0,1,4,65_69
12,10,2025,110431,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13603,14,0,0,0,50_54
12,10,2025,110431,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13603,14,0,0,0,55_59
12,10,2025,110387,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13505,150,0,0,12,50_54
12,10,2025,110387,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13505,143,0,0,8,55_59
12,10,2025,110387,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13505,107,0,0,3,60_64
12,10,2025,110387,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13505,31,0,0,0,65_69
12,10,2025,110431,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13603,9,0,0,0,60_64
12,10,2025,110431,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13603,8,0,0,0,65_69
12,10,2025,110495,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13505,14,0,0,1,50_54
12,10,2025,110495,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13505,8,0,0,0,55_59
12,10,2025,110495,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13505,6,0,0,0,60_64
12,10,2025,110495,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13505,2,0,0,0,65_69
12,10,2025,110490,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13505,8,0,0,0,50_54
12,10,2025,110490,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13505,11,0,0,0,55_59
12,10,2025,110490,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13505,5,0,0,0,60_64
